order_id,customer_id,customer_name,email,city,product,quantity,unit_price,order_date,payment_method,status
ORD005910,C0007,Salma Ahmed,salma.ahmed94@gmail.com,Mansoura,Charger,5,597.1,2026-02-01,Cash,Cancelled
ORD000569,C0168,Heba  Sayed ,heba.sayed66@gmail.com, Suez ,Monitor,1,498.14,2026-07-29,Cash,Delivered
ORD001255,C0370,Salma  Abdel ,salma.abdel84@gmail.com,  Damanhur,Cable,7,4731.0,2026-03-07,Mobile Wallet,Pending
ORD009602,C0191,Dina  Osman ,dina.osman59@gmail.com,Luxor,Screen Protector,10,2277.1,2026-06-19,Credit Card,Returned
ORD003616,C0216,Mohamed  Kamal ,mohamed.kamal32@gmail.com,DAMANHUR,Mouse,8,4560.56,2026-06-14,Credit Card,Delivered
ORD008354,C0124,nour kamal,nour.kamal73@gmail.com, Port Said ,Smart Watch,5,1995.75,2026-02-13,Cash,Delivered
ORD005318,C0287,Yasmin Mostafa,yasmin.mostafa57@gmail.com,hurghada,Smart Watch,2,3509.31,2026-08-07,Credit Card,Pending
ORD000040,C0112, Ahmed Mohamed,ahmed.mohamed3@gmail.com,Aswan,Mouse,4,2498.84,2026-03-24,Credit Card,Cancelled
ORD009202,C0186, Dina Ali,dina.ali68@gmail.com, Tanta ,Tablet,6,4344.59,2026-02-25,Cash,Pending
ORD003393,C0233,Sara Saeed,sara.saeed96@gmail.com,mansoura,Laptop,1,1508.56,2026-02-10,Mobile Wallet,Delivered
ORD005441,C0252,ali ali,ali.ali69@gmail.com,  Fayoum,Power Bank,2,3020.8,2026-01-22,Cash,Pending
ORD003929,C0243,Sara Osman,sara.osman28@gmail.com, Ismailia ,Screen Protector,8,3090.63,2026-03-25,Cash,Cancelled
ORD001414,C0390, Heba Salem,heba.salem97@gmail.com,sharm el sheikh,Smart Watch,8,3293.68,2026-08-06,Mobile Wallet,Delivered
ORD005290,C0498,Rana  Ibrahim ,rana.ibrahim90@gmail.com, Zagazig ,Keyboard,5,918.48,2026-04-12,Mobile Wallet,Pending
ORD009748,C0445,fatma kamal,fatma.kamal98@gmail.com,luxor,Screen Protector,7,1956.82,2026-07-03,Credit Card,Cancelled
ORD009161,C0004, Rana Saeed,rana.saeed58@gmail.com,Cairo,Cable,10,488.72,2026-03-10,Cash,Returned
ORD005182,C0355,Heba  Sayed ,heba.sayed64@yahoo.com,Suez,Screen Protector,9,4951.23,2026-04-25,Cash,Cancelled
ORD005124,C0138,Heba Hassan,heba.hassan74@yahoo.com,fayoum,Charger,8,3388.47,2026-06-17,Mobile Wallet,Cancelled
ORD006422,C0338,Rana Salem,rana.salem24@gmail.com,mansoura,Headphones,3,3566.94,2026-07-09,Credit Card,Pending
ORD009437,C0252,ali ali,ali.ali69@gmail.com,  Fayoum,Monitor,10,4623.84,2026-08-28,Credit Card,Returned
ORD003127,C0307,Nour Osman,nour.osman99@gmail.com,SHARM EL SHEIKH,Tablet,6,562.67,2026-06-08,Mobile Wallet,Cancelled
ORD008841,C0017, Omar Ahmed,omar.ahmed32@gmail.com, Zagazig ,Charger,3,4739.24,2026-07-01,Mobile Wallet,Returned
ORD001958,C0414,Amr  Salem ,amr.salem93@yahoo.com,ASWAN,Power Bank,5,4678.41,2026-01-28,Credit Card,Pending
ORD008970,C0160,rana ibrahim,rana.ibrahim12@gmail.com,sharm el sheikh,Screen Protector,2,215.68,2026-07-08,Mobile Wallet,Cancelled
ORD001184,C0351,Nour Abdel,nour.abdel35@gmail.com, Mansoura ,Speaker,7,376.5,2026-06-13,Cash,Cancelled
ORD009104,C0140,Fatma Rizk,fatma.rizk52@gmail.com, Damanhur ,Charger,7,4364.45,2026-04-03,Cash,Delivered
ORD004348,C0182,khaled salem,khaled.salem70@yahoo.com, Alexandria ,Tablet,2,1322.05,2026-07-03,Cash,Delivered
ORD000252,C0268,Amr Farouk,amr.farouk95@gmail.com,ISMAILIA,Smartphone,1,1935.31,2026-01-14,Mobile Wallet,Delivered
ORD001473,C0208,Fatma Ali,fatma.ali5@gmail.com, Fayoum ,Monitor,3,4110.34,2026-08-04,Mobile Wallet,Cancelled
ORD006224,C0407,Dina Osman,dina.osman61@gmail.com,LUXOR,Screen Protector,9,2086.6,2026-02-04,Mobile Wallet,Delivered
ORD005358,C0076,Dina Farouk,dina.farouk15@gmail.com, Damanhur ,Charger,3,1395.23,2026-04-13,Mobile Wallet,Returned
ORD000097,C0237,omar salem,omar.salem29@gmail.com,  Sharm El Sheikh,Smartphone,3,651.19,2026-01-16,Cash,Pending
ORD007809,C0056,Mariam Sayed,mariam.sayed32@gmail.com,Tanta,Camera,6,4673.74,2026-01-13,Credit Card,Returned
ORD004793,C0468,Ahmed Mohamed,ahmed.mohamed19@gmail.com,Suez,Smartphone,6,784.13,2026-03-03,Cash,Delivered
ORD006484,C0391,Mona Salem,mona.salem99@yahoo.com, Damanhur ,Laptop,4,342.42,2026-02-09,Mobile Wallet,Returned
ORD004170,C0460,mariam ahmed,mariam.ahmed11@gmail.com,suez,Camera,9,3484.88,2026-06-15,Mobile Wallet,Pending
ORD002393,C0053,Khaled  Mohamed ,khaled.mohamed51@yahoo.com, Hurghada ,Charger,9,2234.34,2026-02-04,Cash,Pending
ORD002445,C0073,Hassan Mostafa,hassan.mostafa52@gmail.com, Zagazig ,Cable,7,3114.42,2026-03-17,Mobile Wallet,Pending
ORD004885,C0129,Amr Kamal,amr.kamal12@yahoo.com,suez,Speaker,9,4190.14,2026-02-18,Mobile Wallet,Delivered
ORD001609,C0230,yasmin saeed,yasmin.saeed30@gmail.com, Ismailia ,Mouse,4,2883.9,2026-02-12,Mobile Wallet,Pending
ORD000108,C0468,Ahmed Mohamed,ahmed.mohamed19@gmail.com,Suez,Camera,9,1641.94,2026-03-11,Cash,Delivered
ORD009878,C0028,Youssef Hassan,youssef.hassan94@gmail.com, Alexandria ,Tablet,10,1504.32,2026-07-21,Cash,Returned
ORD001218,C0167,Nour Rizk,nour.rizk60@gmail.com,  Mansoura,Case,7,2534.2,2026-08-25,Mobile Wallet,Returned
ORD007493,C0302,omar ahmed,omar.ahmed1@gmail.com,Aswan,Speaker,10,2204.26,2026-07-17,Cash,Cancelled
ORD000304,C0229,Fatma Kamal,fatma.kamal84@gmail.com,Damanhur,Tablet,3,2853.47,2026-05-25,Mobile Wallet,Pending
ORD009240,C0376,Mahmoud Mohamed,mahmoud.mohamed42@gmail.com,fayoum,Keyboard,5,3757.81,2026-01-21,Cash,Cancelled
ORD002475,C0311,Yasmin Sayed,yasmin.sayed41@gmail.com,Zagazig,Camera,9,782.02,2026-03-03,Credit Card,Cancelled
ORD002336,C0098, Omar Ali,omar.ali50@gmail.com,LUXOR,Camera,8,3878.64,2026-07-11,Mobile Wallet,Delivered
ORD001072,C0053,Khaled  Mohamed ,khaled.mohamed51@yahoo.com, Hurghada ,Cable,9,3966.74,2026-08-25,Mobile Wallet,Pending
ORD001513,C0350,Tarek  Ali ,tarek.ali66@gmail.com,Sharm El Sheikh,Charger,1,2784.86,2026-01-14,Credit Card,Returned
ORD000170,C0443,Rana  Mostafa ,rana.mostafa49@gmail.com,Port Said,Case,1,,2026-02-03,Mobile Wallet,Pending
ORD001627,C0232,mariam ali,mariam.ali9@yahoo.com,Giza,Headphones,10,4877.19,2026-04-12,Cash,Returned
ORD006005,C0087,Omar Ibrahim,,  Alexandria,Case,9,4887.65,2026-02-04,Credit Card,Returned
ORD005326,C0250,Ahmed  Mohamed ,ahmed.mohamed28@gmail.com,ASWAN,Cable,N/A,648.07,2026-04-17,Cash,Delivered
ORD000577,C0340,Ali  Ali ,ali.ali91@yahoo.com,zagazig,Tablet,8,738.39,2026-05-23,Credit Card,Cancelled
ORD004048,C0261, Nour Hassan,nour.hassan33@yahoo.com,  Mansoura,Charger,7,4312.67,2026-03-08,Cash,Returned
ORD008753,C0225,heba rizk,heba.rizk55@gmail.com,FAYOUM,Mouse,1,629.81,2026-08-10,Cash,Pending
ORD008141,C0242, Tarek Hassan,tarek.hassan95@gmail.com, Cairo ,Monitor,10,2607.44,2026-06-19,Credit Card,Returned
ORD006146,C0422,dina nasser,dina.nasser30@yahoo.com,  Sharm El Sheikh,Tablet,10,4051.4,2026-04-18,Mobile Wallet,Delivered
ORD001651,C0170,Yasmin Sayed,yasmin.sayed66@gmail.com,MANSOURA,Camera,10,3043.64,2026-07-26,Mobile Wallet,Returned
ORD007518,C0074,Khaled Ibrahim,khaled.ibrahim34@yahoo.com, Aswan ,Case,4,4688.55,2026-06-20,Cash,Returned
ORD001731,C0196,Salma  Kamal ,,ASWAN,Speaker,2,1721.98,2026-06-13,Mobile Wallet,Cancelled
ORD008601,C0319,ali osman,ali.osman45@gmail.com,Port Said,Smartphone,5,1637.85,2026-06-05,Cash,Delivered
ORD007064,C0286, Nour Nasser,nour.nasser40@gmail.com,Fayoum,Monitor,4,2642.43,2026-03-24,Mobile Wallet,Returned
ORD005285,C0092,amr ali,amr.ali86@gmail.com,damanhur,Speaker,2,3548.33,2026-07-02,Cash,Returned
ORD009730,C0456,Heba Ibrahim,heba.ibrahim69@gmail.com,cairo,Smartphone,2,73.76,2026-04-15,Cash,Pending
ORD007741,C0369,Dina  Farouk ,dina.farouk93@gmail.com, Cairo ,Tablet,5,4357.87,2026-04-09,Credit Card,Pending
ORD000322,C0320,Salma  Saeed ,salma.saeed82@gmail.com,ALEXANDRIA,Charger,9,1359.38,2026-07-05,Mobile Wallet,Cancelled
ORD009024,C0309,amr osman,amr.osman81@yahoo.com,MANSOURA,Cable,4,3508.95,2026-01-02,Cash,Pending
ORD002192,C0308,Omar  Ibrahim ,omar.ibrahim70@gmail.com,TANTA,Laptop,7,378.35,2026-01-22,Mobile Wallet,Pending
ORD004152,C0105,ali rizk,ali.rizk17@gmail.com, Zagazig ,Case,4,2143.16,2026-04-26,Mobile Wallet,Returned
ORD002974,C0187,Ali Ali,ali.ali79@gmail.com,Aswan,Speaker,4,1163.32,2026-03-08,Cash,Delivered
ORD007876,C0480,Ahmed  Hassan ,ahmed.hassan71@yahoo.com,sharm el sheikh,Mouse,9,2081.48,2026-06-15,Credit Card,Cancelled
ORD002488,C0400,Tarek Salem,tarek.salem24@gmail.com,fayoum,Headphones,6,1527.28,2026-05-03,Mobile Wallet,Pending
ORD007672,C0103, Salma Sayed,salma.sayed63@yahoo.com,Ismailia,Mouse,8,364.13,2026-01-14,Mobile Wallet,Pending
ORD000501,C0397,ali osman,ali.osman83@yahoo.com, Tanta ,Screen Protector,5,2333.67,2026-04-19,Credit Card,Delivered
ORD000938,C0126,Mariam  Kamal ,mariam.kamal44@yahoo.com,Hurghada,Screen Protector,10,2248.94,2026-07-26,Mobile Wallet,Cancelled
ORD002626,C0102,mona kamal,mona.kamal54@gmail.com,  Zagazig,Monitor,4,4632.69,2026-06-17,Mobile Wallet,Pending
ORD004605,C0055,Fatma Hassan,fatma.hassan28@gmail.com,mansoura,Camera,3,3567.46,2026-07-30,Credit Card,Returned
ORD006018,C0099,sara saeed,sara.saeed43@gmail.com, Suez ,Power Bank,5,4709.64,2026-07-09,Credit Card,Cancelled
ORD004788,C0291, Mona Hassan,mona.hassan35@gmail.com,Zagazig,Smart Watch,1,3026.97,2026-04-18,Mobile Wallet,Cancelled
ORD000440,C0337,sara abdel,sara.abdel88@gmail.com,mansoura,Tablet,9,4992.25,2026-04-24,Credit Card,Cancelled
ORD007552,C0169, Heba Abdel,heba.abdel59@gmail.com,  Port Said,Case,7,2587.44,2026-07-21,Credit Card,Pending
ORD000625,C0206,Ahmed Farouk,ahmed.farouk42@gmail.com, Luxor ,Laptop,N/A,1858.51,2026-08-07,Credit Card,Delivered
ORD001509,C0037, Youssef Abdel,youssef.abdel61@gmail.com,  Tanta,Mouse,10,3709.48,2026-08-26,Cash,Returned
ORD009346,C0261, Nour Hassan,nour.hassan33@yahoo.com,  Mansoura,Tablet,N/A,2981.31,2026-01-25,Credit Card,Delivered
ORD008766,C0167,Nour Rizk,nour.rizk60@gmail.com,  Mansoura,Smart Watch,7,1716.5,2026-07-29,Mobile Wallet,Cancelled
ORD002535,C0112, Ahmed Mohamed,ahmed.mohamed3@gmail.com,Aswan,Monitor,2,4462.43,2026-05-20,Credit Card,Cancelled
ORD008889,C0370,Salma  Abdel ,salma.abdel84@gmail.com,  Damanhur,Keyboard,8,3532.15,2026-05-20,Credit Card,Returned
ORD000656,C0028,Youssef Hassan,youssef.hassan94@gmail.com, Alexandria ,Power Bank,7,767.46,2026-08-26,Mobile Wallet,Returned
ORD003413,C0262,sara ali,sara.ali60@gmail.com,  Damanhur,Screen Protector,5,3961.03,2026-03-17,Credit Card,Returned
ORD007355,C0321,sara salem,,Tanta,Keyboard,1,3255.26,2026-01-09,Cash,Delivered
ORD000519,C0495,Heba  Ali ,heba.ali31@yahoo.com,  Mansoura,Monitor,10,1832.93,2026-01-10,Cash,Cancelled
ORD004990,C0033,Sara Mostafa,sara.mostafa76@gmail.com, Luxor ,Camera,8,4232.52,2026-05-21,Credit Card,Pending
ORD000347,C0142,Nour Hassan,nour.hassan98@gmail.com, Luxor ,Case,7,1797.98,2026-04-12,Credit Card,Pending
ORD005131,C0445,fatma kamal,fatma.kamal98@gmail.com,luxor,Monitor,7,3991.3,2026-04-12,Mobile Wallet,Returned
ORD002305,C0491, Youssef Kamal,youssef.kamal42@gmail.com,Suez,Power Bank,10,4347.26,2026-02-17,Cash,Pending
ORD002139,C0240,Ahmed  Farouk ,ahmed.farouk4@yahoo.com,  Hurghada,Keyboard,5,780.78,2026-06-22,Credit Card,Returned
ORD000316,C0246,sara ahmed,sara.ahmed85@gmail.com,ismailia,Headphones,10,848.17,2026-08-02,Credit Card,Delivered
ORD009364,C0438,Hassan Saeed,hassan.saeed78@yahoo.com,  Alexandria,Mouse,5,3991.09,2026-05-18,Mobile Wallet,Pending
ORD000674,C0404, Amr Ahmed,amr.ahmed52@gmail.com,  Hurghada,Charger,2,3121.25,2026-03-27,Mobile Wallet,Delivered
ORD002997,C0222,Fatma Osman,fatma.osman61@gmail.com,port said,Power Bank,9,3997.68,2026-03-08,Credit Card,Returned
ORD009639,C0167,Nour Rizk,nour.rizk60@gmail.com,  Mansoura,Tablet,6,4243.68,2026-01-01,Cash,Delivered
ORD003353,C0334,Mariam Nasser,mariam.nasser48@gmail.com,Damanhur,Monitor,10,4100.79,2026-07-04,Mobile Wallet,Delivered
ORD000484,C0442,Nour Osman,nour.osman91@yahoo.com,Aswan,Tablet,5,,2026-08-19,Mobile Wallet,Pending
ORD001684,C0179,fatma nasser,fatma.nasser2@gmail.com,SUEZ,Case,9,2275.88,2026-06-11,Mobile Wallet,Pending
ORD008883,C0069, Dina Ibrahim,dina.ibrahim95@gmail.com,SUEZ,Case,9,4745.79,2026-05-04,Cash,Cancelled
ORD009051,C0207,sara salem,sara.salem90@gmail.com,SUEZ,Monitor,8,3717.96,2026-04-24,Mobile Wallet,Returned
ORD007611,C0180,omar hassan,,Suez,Case,9,1377.4,2026-02-12,Mobile Wallet,Delivered
ORD008912,C0290,Rana Sayed,rana.sayed92@gmail.com,Mansoura,Screen Protector,5,1491.98,2026-04-18,Credit Card,Pending
ORD001124,C0232,mariam ali,mariam.ali9@yahoo.com,Giza,Camera,8,2598.82,2026-06-19,Cash,Delivered
ORD005577,C0198,Amr Ibrahim,amr.ibrahim47@gmail.com,giza,Camera,5,4105.36,2026-06-12,Credit Card,Returned
ORD006267,C0481,Tarek  Ibrahim ,tarek.ibrahim53@gmail.com,Giza,Mouse,3,329.78,2026-01-27,Credit Card,Returned
ORD001596,C0145, Yasmin Salem,yasmin.salem34@gmail.com,Tanta,Tablet,4,3192.12,2026-01-23,Mobile Wallet,Pending
ORD000762,C0252,ali ali,ali.ali69@gmail.com,  Fayoum,Mouse,3,1596.68,2026-04-10,Credit Card,Delivered
ORD008665,C0429, Nour Ahmed,nour.ahmed85@gmail.com,SUEZ,Screen Protector,8,4150.58,2026-05-29,Credit Card,Delivered
ORD008350,C0470,rana mostafa,rana.mostafa97@gmail.com,Giza,Cable,1,59.14,2026-01-17,Cash,Pending
ORD007497,C0441, Yasmin Sayed,yasmin.sayed95@yahoo.com,fayoum,Screen Protector,N/A,1200.41,2026-03-09,Mobile Wallet,Pending
ORD002030,C0454, Dina Ali,dina.ali9@gmail.com,cairo,Keyboard,2,4438.13,2026-01-18,Cash,Pending
ORD006836,C0314,mariam saeed,mariam.saeed96@gmail.com,  Port Said,Monitor,6,4666.88,2026-07-30,Mobile Wallet,Delivered
ORD003964,C0066,Omar  Ibrahim ,omar.ibrahim47@gmail.com,Alexandria,Tablet,3,,2026-01-09,Credit Card,Pending
ORD007499,C0296,Omar Ali,omar.ali37@gmail.com,Fayoum,Smart Watch,3,2142.09,2026-02-14,Cash,Cancelled
ORD000260,C0398,Ahmed  Osman ,ahmed.osman38@gmail.com,  Tanta,Cable,4,1506.18,2026-02-15,Mobile Wallet,Delivered
ORD003095,C0283, Omar Ali,omar.ali89@gmail.com,tanta,Case,6,3568.24,2026-08-18,Cash,Cancelled
ORD000953,C0335,Omar Farouk,omar.farouk9@gmail.com,fayoum,Tablet,1,347.87,2026-08-24,Credit Card,Cancelled
ORD009818,C0293,Amr  Sayed ,amr.sayed4@gmail.com,Suez,Keyboard,10,4777.1,2026-05-22,Mobile Wallet,Delivered
ORD004056,C0048,mohamed farouk,mohamed.farouk65@gmail.com,ZAGAZIG,Laptop,9,1376.48,2026-06-04,Cash,Pending
ORD007287,C0377,Mahmoud  Saeed ,mahmoud.saeed23@gmail.com, Zagazig ,Keyboard,2,1689.54,2026-05-29,Mobile Wallet,Pending
ORD000312,C0406, Omar Abdel,omar.abdel59@gmail.com,PORT SAID,Monitor,10,82.66,2026-08-14,Cash,Returned
ORD004694,C0388,Fatma  Saeed ,fatma.saeed92@gmail.com,MANSOURA,Speaker,5,1001.01,2026-08-03,Mobile Wallet,Delivered
ORD002129,C0139, Amr Mostafa,amr.mostafa7@yahoo.com,fayoum,Laptop,10,2424.64,2026-07-07,Mobile Wallet,Pending
ORD007208,C0339,Dina Nasser,dina.nasser16@gmail.com, Hurghada ,Power Bank,5,2850.12,2026-04-16,Cash,Delivered
ORD000933,C0277,Omar Farouk,omar.farouk40@gmail.com,SHARM EL SHEIKH,Laptop,8,3692.77,2026-06-15,Cash,Pending
ORD000032,C0361,tarek nasser,tarek.nasser98@gmail.com,Mansoura,Smart Watch,5,2885.04,2026-08-08,Mobile Wallet,Delivered
ORD000036,C0322,Ahmed Ali,ahmed.ali87@gmail.com,  Cairo,Mouse,7,2287.36,2026-06-12,Cash,Returned
ORD006097,C0176,mohamed mostafa,mohamed.mostafa91@gmail.com, Port Said ,Speaker,8,1632.92,2026-02-04,Mobile Wallet,Cancelled
ORD006557,C0183,Nour  Salem ,nour.salem30@gmail.com,Ismailia,Case,3,,2026-05-31,Mobile Wallet,Cancelled
ORD009229,C0342,Hassan  Ali ,hassan.ali79@gmail.com,  Fayoum,Speaker,2,4992.97,2026-06-15,Cash,Cancelled
ORD006602,C0320,Salma  Saeed ,,ALEXANDRIA,Charger,5,4457.52,2026-01-09,Credit Card,Pending
ORD008787,C0295,Nour  Ibrahim ,nour.ibrahim13@gmail.com,SHARM EL SHEIKH,Camera,8,1336.71,2026-03-31,Mobile Wallet,Cancelled
ORD006129,C0244,Khaled  Ali ,khaled.ali40@gmail.com,DAMANHUR,Charger,4,2473.12,2026-04-01,Credit Card,Cancelled
ORD003379,C0351,Nour Abdel,nour.abdel35@gmail.com, Mansoura ,Headphones,4,2201.08,2026-08-16,Cash,Pending
ORD005383,C0223,Mahmoud Farouk,mahmoud.farouk58@gmail.com,Alexandria,Power Bank,9,2053.69,2026-06-21,Cash,Returned
ORD002819,C0367,Youssef Mostafa,youssef.mostafa66@gmail.com,DAMANHUR,Mouse,2,105.46,2026-01-22,Credit Card,Pending
ORD004050,C0210,Mariam Salem,,  Mansoura,Speaker,10,342.02,2026-03-11,Cash,Returned
ORD008222,C0001,Fatma  Ibrahim ,fatma.ibrahim32@yahoo.com, Giza ,Laptop,6,991.05,2026-07-11,Credit Card,Returned
ORD006395,C0293,Amr  Sayed ,,Suez,Case,9,3155.99,2026-04-15,Mobile Wallet,Pending
ORD009285,C0062,sara salem,sara.salem36@yahoo.com,SHARM EL SHEIKH,Charger,10,2506.18,2026-06-24,Credit Card,Cancelled
ORD003521,C0012, Sara Farouk,sara.farouk69@gmail.com,Tanta,Monitor,1,2553.04,2026-05-20,Credit Card,Cancelled
ORD006729,C0237,omar salem,omar.salem29@gmail.com,  Sharm El Sheikh,Keyboard,10,3870.7,2026-03-05,Credit Card,Cancelled
ORD005307,C0131,Mariam Saeed,mariam.saeed43@gmail.com, Ismailia ,Smart Watch,10,3756.79,2026-04-20,Mobile Wallet,Cancelled
ORD000296,C0431,dina nasser,dina.nasser7@gmail.com, Port Said ,Keyboard,3,3413.92,2026-03-26,Credit Card,Returned
ORD002725,C0406, Omar Abdel,,PORT SAID,Tablet,10,3368.54,2026-05-24,Mobile Wallet,Pending
ORD007768,C0351,Nour Abdel,nour.abdel35@gmail.com, Mansoura ,Screen Protector,10,2602.78,2026-03-19,Cash,Cancelled
ORD000081,C0238,Rana Mostafa,rana.mostafa98@yahoo.com, Luxor ,Keyboard,10,4860.7,2026-07-17,Cash,Pending
ORD005585,C0192,tarek rizk,, Damanhur ,Headphones,9,1118.77,2026-07-06,Mobile Wallet,Cancelled
ORD001954,C0440,Heba  Mohamed ,heba.mohamed39@gmail.com,cairo,Smartphone,3,982.99,2026-06-08,Credit Card,Pending
ORD003394,C0396,Mahmoud  Abdel ,mahmoud.abdel25@gmail.com,SHARM EL SHEIKH,Speaker,3,2780.72,2026-03-26,Cash,Delivered
ORD008858,C0395,Mona Abdel,mona.abdel68@gmail.com,MANSOURA,Monitor,6,1551.17,2026-08-19,Mobile Wallet,Pending
ORD004011,C0390, Heba Salem,heba.salem97@gmail.com,sharm el sheikh,Case,2,1013.7,2026-03-01,Credit Card,Cancelled
ORD006728,C0091,Amr Ibrahim,amr.ibrahim32@gmail.com,Mansoura,Case,1,3802.7,2026-07-23,Mobile Wallet,Cancelled
ORD001311,C0453,Mohamed Rizk,mohamed.rizk86@yahoo.com,Cairo,Headphones,3,3855.69,2026-02-11,Mobile Wallet,Cancelled
ORD009924,C0325,Mariam Abdel,mariam.abdel74@yahoo.com,port said,Camera,3,2033.95,2026-06-13,Cash,Returned
ORD008266,C0065,Rana  Ibrahim ,rana.ibrahim75@gmail.com,Ismailia,Smart Watch,8,2053.85,2026-08-16,Mobile Wallet,Returned
ORD000120,C0301,Salma Nasser,salma.nasser81@gmail.com,Aswan,Smartphone,6,1543.74,2026-02-04,Cash,Returned
